R,G,B,id,mark,path,hexCol,h,s,v
252.4032138264069,220.4032138264069,41.403213826406905,1,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna1patch1_phone_noflash.jpeg,#FCDC29,0.14139020537124802,0.8359639990365478,0.9898165248094388
255,223.06293635618434,62.062936356184316,1,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna1patch1_phone_noflash.jpeg,#FFDF3E,0.1390781679090483,0.7566159358581007,1
255,225.0682739518997,50.38371019189977,1,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna1patch1_phone_noflash.jpeg,#FFE132,0.14228629591175118,0.8024168227768637,1
255,238,110,2,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna2patch1_phone_noflash.jpeg,#FFEE6E,0.1471264367816092,0.5686274509803921,1
255,245.8718188329437,114.72081212294364,2,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna2patch1_phone_noflash.jpeg,#FFF572,0.15582141192241997,0.5501144622629661,1
255,240,95,2,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna2patch1_phone_noflash.jpeg,#FFF05F,0.15104166666666666,0.6274509803921569,1
252.71140939999987,212.71140939999987,29.711409399999866,3,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna3patch1_phone_noflash.jpeg,#FCD41D,0.13677130044843047,0.8824294895488013,0.9910251349019602
255,224.05704698,41.057046979999996,3,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna3patch1_phone_noflash.jpeg,#FFE029,0.14256136773595332,0.8389919726274511,1
255,239,51,3,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna3patch1_phone_noflash.jpeg,#FFEF33,0.15359477124183007,0.8,1
254.90268456000015,224.90268456000013,50.90268456000013,4,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna4patch1_phone_noflash.jpeg,#FEE032,0.142156862745098,0.8003054198983203,0.99961837082353
254.93150083405317,223.93150083405317,47.93150083405317,4,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna4patch1_phone_noflash.jpeg,#FEDF2F,0.14170692431561996,0.8119828241028008,0.9997313758198163
255,239.10248412071678,62.61409395999999,4,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna4patch1_phone_noflash.jpeg,#FFEF3E,0.15289442090075464,0.7544545334901961,1
255,255,74,5,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna5patch1_phone_noflash.jpeg,#FFFF4A,0.16666666666666666,0.7098039215686274,1
255,255,66,5,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna5patch1_phone_noflash.jpeg,#FFFF42,0.16666666666666666,0.7411764705882353,1
255,255,67,5,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna5patch1_phone_noflash.jpeg,#FFFF43,0.16666666666666666,0.7372549019607844,1
255,255,35,6,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna6patch1_phone_noflash.jpeg,#FFFF23,0.16666666666666666,0.8627450980392157,1
255,255,38,6,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna6patch1_phone_noflash.jpeg,#FFFF26,0.16666666666666666,0.8509803921568627,1
255,251.55369128000007,29.553691280000066,6,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna6patch1_phone_noflash.jpeg,#FFFB1D,0.16411889912978483,0.8841031714509802,1
254,242,62,7,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna7patch1_phone_noflash.jpeg,#FEF23E,0.15624999999999997,0.7559055118110236,0.996078431372549
254,251,74,7,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna7patch1_phone_noflash.jpeg,#FEFB4A,0.1638888888888889,0.7086614173228346,0.996078431372549
253.03469438213256,237.03469438213256,66.03469438213257,7,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna7patch1_phone_noflash.jpeg,#FDED42,0.15240641711229946,0.7390290902859074,0.9922929191456179
250.4360051415057,242.9460722615057,63.946072261505705,8,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna8patch1_phone_noflash.jpg,#FAF23F,0.15997288900591797,0.7446610273735449,0.9821019809470811
255,255,75.69798658000036,8,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna8patch1_phone_noflash.jpg,#FFFF4B,0.16666666666666666,0.7031451506666653,1
253,255,70,8,Senna_pendula_phone_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna8patch1_phone_noflash.jpg,#FDFF46,0.16846846846846844,0.7254901960784313,1
