R,G,B,id,mark,path,hexCol,h,s,v
88.26495427,25.4362416,46.4362416,1,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/10185546.jpg,#58192E,0.944292986,0.711819467,0.346137076
113.9712738,50.70657852,76.64724561,1,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/10185546.jpg,#71324C,0.931661024,0.555093342,0.446946172
161.9563758,64.32525562,85.03368091,1,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/10185546.jpg,#A14055,0.964648524,0.602823567,0.635123042
101.3732377,61.37323769,70.37323769,2,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/12327349.jpg,#653D46,0.9625,0.394581459,0.397542109
96,65,73,2,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/12327349.jpg,#604149,0.956989247,0.322916667,0.376470588
107,67,78,2,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/12327349.jpg,#6B434E,0.954166667,0.373831776,0.419607843
75.17640096,35.9066596,36.59474548,3,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/13228594.jpg,#4B2324,0.99707966,0.522367935,0.294809416
81.6105318,42.36132631,41.94477726,3,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/13228594.jpg,#512A29,0.001750246,0.486037202,0.320041301
87.74697835,45.03445038,47.13624009,3,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/13228594.jpg,#572D2F,0.991798699,0.486769217,0.344105797
55.41722595,18.41722595,26.41722595,4,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/14264516.jpg,#37121A,0.963963964,0.667662435,0.217322455
59.81543624,21.81543624,32.81543624,4,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/14264516.jpg,#3B1520,0.951754386,0.635287518,0.234570338
66.51563618,22.51563618,35.51563618,4,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/14264516.jpg,#421623,0.950757576,0.661498597,0.260845632
84.23489938,66.18232667,62.18232667,5,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/15312155.jpg,#54423E,0.030230789,0.261798529,0.330332939
88.56789486,57.56789486,62.87773826,5,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/15312155.jpg,#58393E,0.971452455,0.350013964,0.347325078
78.00003373,54.95647715,57.26404963,5,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/15312155.jpg,#4E3639,0.983310067,0.295430085,0.305882485
77.99809696,58.8974258,59.67259359,6,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/15362805.jpg,#4D3A3B,0.993236121,0.244886374,0.30587489
49.01449259,31.01449259,31.01449259,6,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/15362805.jpg,#311F1F,0,0.367238322,0.192213696
83.27092248,60.82796944,62.71723118,6,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/15362805.jpg,#533C3E,0.985969896,0.269517286,0.326552637
67.84681995,40.96203248,45.58855831,7,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/15605105.jpg,#43282D,0.971318812,0.396257149,0.266065961
68.91439698,57.80194834,55.15765304,7,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/15605105.jpg,#443937,0.032036351,0.199620755,0.270252537
91.70231063,58.92035636,65.70231063,7,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/15605105.jpg,#5B3A41,0.96551988,0.357482315,0.359616904
89.55798161,69.55798161,68.55798161,8,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/15718238.jpg,#594544,0.007936508,0.234484963,0.351207771
74.37563629,51.69778393,56.27832084,8,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/15718238.jpg,#4A3338,0.966336194,0.304909692,0.291669162
65.27644025,53.44086978,51.99791676,8,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/15718238.jpg,#413533,0.018111364,0.203419847,0.25598604
85.94600473,73.61378995,75.94600473,9,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/15757263.jpg,#55494B,0.968480725,0.143487935,0.337043156
86.82661817,67.42907976,74.28948021,9,Macroptilium_atropurpureum_iNat,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/15757263.jpg,#56434A,0.941054372,0.223405435,0.340496542
