common_name,species,patch,breeding_colours_cs,multiple_forms_cs,multiple_forms_museum,patterned,colourblocked,iridescent,colours_cs
Albert's Lyrebird,Menura alberti,upper_breast,,,,,,,brown
Apostlebird,Struthidea cinerea,upper_breast,,,,Y,,,grey
Arafura Fantail,Rhipidura dryas,upper_breast,,,,Y,,,"cream, black"
Ashy-bellied White-eye,Zosterops citrinella,upper_breast,,,,,,,cream
Asian Koel,Eudynamys scolopaceus,upper_breast,,,,,,,black
Atherton Scrubwren,Sericornis keri,upper_breast,,,,,,,brown
Australasian Bittern,Botaurus poiciloptilus,upper_breast,,,,Y,,,"cream, brown"
Australasian Bushlark,Mirafra javanica,upper_breast,,,,Y,,,"cream, brown"
Australasian Darter,Anhinga novaehollandiae,upper_breast,,,,,,,black
Australasian Figbird,Sphecotheres vieilloti,upper_breast,,Y,N,,,,"grey, yellow"
Australasian Grass-Owl,Tyto longimembris,upper_breast,,,,Y,,,"white, black"
Australasian Grebe,Tachybaptus novaehollandiae,upper_breast,Y,,,,,,cream
Australasian Pipit,Anthus novaeseelandiae,upper_breast,,,,Y,,,"cream, brown"
Australasian Swamphen,Porphyrio melanotus,upper_breast,,,,,,,blue
Australian Brushturkey,Alectura lathami,upper_breast,,Y,,Y,,,"black, white"
Australian Bustard,Ardeotis australis,upper_breast,,,,,,,cream
Australian Crake,Porzana fluminea,upper_breast,,,,,,,grey
Australian Fairy Tern,Sternula nereis,upper_breast,Y,,,,,,white
Australian Hobby,Falco longipennis,upper_breast,,Y,,Y,,,"cream, brown"
Australian Ibis,Threskiornis molucca,upper_breast,Y,,,,,,white
Australian Kestrel,Falco cenchroides,upper_breast,,,,Y,,,"cream, brown"
Australian King-Parrot,Alisterus scapularis,upper_breast,,,,,,,red
Australian Logrunner,Orthonyx temminckii,upper_breast,,,,,,,white
Australian Magpie,Gymnorhina tibicen,upper_breast,,Y,,,,,black
Australian Masked-Owl,Tyto novaehollandiae,upper_breast,,Y,,,Y,,"white, brown, black"
Australian Owlet-nightjar,Aegotheles cristatus,upper_breast,,Y,,Y,,,"cream, brown, grey"
Australian Painted-Snipe,Rostratula australis,upper_breast,,,,Y,,,brown
Australian Pelican,Pelecanus conspicillatus,upper_breast,Y,,,,,,white
Australian Pratincole,Stiltia isabella,upper_breast,Y,,,,,,cream
Australian Raven,Corvus coronoides,upper_breast,,,,,,,black
Australian Reed Warbler,Acrocephalus australis,upper_breast,,,,,,,cream
Australian Ringneck,Barnardius zonarius,upper_breast,,Y,,,,,green
