R,G,B,id,mark,path,hexCol,h,s,v
243.2371147,207.2371147,48.23711473,1,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/10522740.jpg,#F3CF30,0.135897436,0.801686865,0.953871038
244.125066,208.2665423,48.84211348,1,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/10522740.jpg,#F4D030,0.136062763,0.799929953,0.9573532
249.1195905,209.8319239,43.63660695,1,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/10522740.jpg,#F9D12B,0.134800551,0.824836711,0.976939571
253.6950791,253.12651,69.23110722,2,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/10830374.jpg,#FDFD45,0.166152954,0.727108987,0.994882663
254.568976,249.8884007,46.69902877,2,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/10830374.jpg,#FEF92E,0.162913859,0.816556481,0.99830971
252.7386691,251.7386691,64.55623902,2,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/10830374.jpg,#FCFB40,0.165781001,0.744573162,0.991132036
239.3347979,178.3347979,1.33479789,3,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11099755.jpg,#EFB201,0.12394958,0.994422884,0.938567835
232.0491312,178.1967586,0.13796134,3,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11099755.jpg,#E8B200,0.127964799,0.999405465,0.909996593
249.5861291,195.5861291,1.586129117,3,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11099755.jpg,#F9C301,0.130376344,0.993644963,0.978769134
254.955766,246.0617956,31.06179558,4,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11106576.jpg,#FEF61F,0.160045995,0.878167903,0.999826533
254,254,43.90509666,4,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11106576.jpg,#FEFE2B,0.166666667,0.827145289,0.996078431
254.1012776,245.1012776,18.10127764,4,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11106576.jpg,#FEF512,0.160310734,0.928763532,0.996475599
254.8748907,237.7871817,13.643948,5,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11147126.jpg,#FEED0D,0.154860754,0.946468057,0.999509375
254.85654,254.85654,46.85654001,5,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11147126.jpg,#FEFE2E,0.166666667,0.816145428,0.999437412
254.3193351,255,39.47100176,5,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11147126.jpg,#FEFF27,0.167193019,0.845211758,1
254.3804682,254.6168478,77.02899825,6,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11300473.jpg,#FEFE4D,0.16688851,0.69747093,0.998497442
253.1731107,249.4534271,73.17311072,6,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11300473.jpg,#FDF949,0.163222515,0.710975978,0.992835728
244.8488576,191.8810735,39.28675164,6,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11300473.jpg,#F4BF27,0.123721183,0.839546927,0.960191599
251.9212961,196.9212961,35.92129611,7,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11353418.jpg,#FBC423,0.124228395,0.857410641,0.987926651
251,212,46,7,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11353418.jpg,#FBD42E,0.13495935,0.816733068,0.984313725
251.8391916,207.0325132,48.43585238,7,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11353418.jpg,#FBCF30,0.129952521,0.807671506,0.987604673
252.4841828,242.4841828,66.77988316,8,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11415025.jpg,#FCF242,0.157691825,0.735508647,0.99013405
254,242.2678805,67.73211953,8,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11415025.jpg,#FEF243,0.156169133,0.733338112,0.996078431
254.312499,228.4407943,55.56908956,8,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/11415025.jpg,#FEE437,0.144970597,0.781492889,0.997303918
179.6204168,116.6204168,0.671336056,9,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/12678270.jpg,#B37400,0.107990758,0.996262474,0.704393791
193.3296153,133.3296153,1.554999529,9,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/12678270.jpg,#C18501,0.114522122,0.991956744,0.758155354
189.9966869,131.9966869,0,9,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/12678270.jpg,#BD8300,0.115788587,1,0.745085047
221.8969911,188.8969911,47.89699115,10,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/12700548.jpg,#DDBC2F,0.135057471,0.784147631,0.870184279
220.0413005,189.0413005,49.04130053,10,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/12700548.jpg,#DCBD31,0.136452242,0.777126837,0.862907061
212.0463158,184.0463158,49.04631579,10,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/12700548.jpg,#D4B831,0.13803681,0.768699986,0.83155418
255,254.5078453,72.22752897,11,Senna_pendula_iNat,D:/R-3.6.2/library/colorZapper/sample/12944478.jpg,#FFFE48,0.16621788,0.716754788,1
