R,G,B,id,mark,path,hexCol,h,s,v
254,254,192,1,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna1patch1_olympus_noflash.JPG,#FEFEC0,0.16666666666666666,0.2440944881889764,0.996078431372549
255,254,190,1,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna1patch1_olympus_noflash.JPG,#FFFEBE,0.1641025641025641,0.2549019607843137,1
254,254.4530201299999,179.5469798700001,1,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna1patch1_olympus_noflash.JPG,#FEFEB3,0.1676746408532331,0.2943806295627003,0.9978549809019605
255,254,190,2,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna2patch1_olympus_noflash.JPG,#FFFEBE,0.1641025641025641,0.2549019607843137,1
255,254,197,2,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna2patch1_olympus_noflash.JPG,#FFFEC5,0.16379310344827588,0.22745098039215683,1
254,255,211,2,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna2patch1_olympus_noflash.JPG,#FEFFD3,0.17045454545454541,0.1725490196078432,1
255,255,165.6241610799998,3,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna3patch1_olympus_noflash.JPG,#FFFFA5,0.16666666666666666,0.3504934859607851,1
254,254,164,3,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna3patch1_olympus_noflash.JPG,#FEFEA4,0.16666666666666666,0.3543307086614173,0.996078431372549
255,254.00388495855432,179.01395206855423,3,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna3patch1_olympus_noflash.JPG,#FFFEB3,0.16448180275949173,0.29798450169194424,1
255,254,177,4,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna4patch1_olympus_noflash.JPG,#FFFEB1,0.16452991452991453,0.3058823529411765,1
253.84164001613348,253.84164001613348,165.84164001613348,4,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna4patch1_olympus_noflash.JPG,#FDFDA5,0.16666666666666666,0.346672831117885,0.9954574118279744
254,254.83557047,179.16442953,4,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna4patch1_olympus_noflash.JPG,#FEFEB3,0.1685070214342843,0.2969410463399505,0.9993551783137254
254,254,165.99999999999997,5,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna5patch1_olympus_noflash.JPG,#FEFEA5,0.16666666666666666,0.34645669291338593,0.996078431372549
255,255,175,5,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna5patch1_olympus_noflash.JPG,#FFFFAF,0.16666666666666666,0.3137254901960784,1
255,254,198,5,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna5patch1_olympus_noflash.JPG,#FFFEC6,0.16374269005847955,0.22352941176470587,1
255,254,179.00000000000003,6,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna6patch1_olympus_noflash.JPG,#FFFEB3,0.16447368421052633,0.29803921568627445,1
254,254,190,6,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna6patch1_olympus_noflash.JPG,#FEFEBE,0.16666666666666666,0.25196850393700787,0.996078431372549
254,254,190,6,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna6patch1_olympus_noflash.JPG,#FEFEBE,0.16666666666666666,0.25196850393700787,0.996078431372549
254,254,168,7,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna7patch1_olympus_noflash.JPG,#FEFEA8,0.16666666666666666,0.33858267716535434,0.996078431372549
254,254,168,7,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna7patch1_olympus_noflash.JPG,#FEFEA8,0.16666666666666666,0.33858267716535434,0.996078431372549
255,254.77315211070788,173.4677829907081,7,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna7patch1_olympus_noflash.JPG,#FFFEAD,0.16620294836075603,0.3197341843501643,1
254,255,179,8,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna8patch1_olympus_noflash.JPG,#FEFFB3,0.16885964912280702,0.29803921568627456,1
255,254.87747173419064,182.8155263316187,8,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna8patch1_olympus_noflash.JPG,#FFFEB6,0.16638376126337026,0.2830763673269855,1
255,254,189,8,Senna_pendula_olympus_noflash,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/senna8patch1_olympus_noflash.JPG,#FFFEBD,0.16414141414141414,0.2588235294117647,1
